,tconst,titleFR,EncRunT,EncYear,EncNumR,averageRating,Crew1,Crew2
247,tt0012752,Les trois mousquetaires,1,0,0,7.0,0.0,0.0
248,tt0012754,L'homme marqué,1,0,0,6.8,0.0,0.0
249,tt0012755,Par l'entrée de service,1,0,0,6.8,-1.279611668747446e-18,7.525015551941476e-19
250,tt0012763,Le coeur sur la main,1,0,0,6.8,0.0,0.0
251,tt0012769,Deux femmes trop sages,1,0,0,5.9,0.0,0.0
252,tt0012771,Torgus,0,0,0,6.0,0.0,0.0
253,tt0012806,Quatre hommes pour une femme,0,0,0,6.1,0.0,0.0
254,tt0012807,Son Fils,1,0,0,4.0,0.0,0.0
255,tt0012814,Le Prince des ténèbres,0,0,0,5.8,0.0,0.0
256,tt0012815,Les gens du Warmland,1,0,0,6.5,0.0,0.0
257,tt0012839,Sa Haine,0,0,0,6.2,0.0,0.0
258,tt0012877,Cent à l'heure,0,0,0,4.6,0.0,0.0
259,tt0012898,L'émigrée,0,0,0,4.5,0.0,0.0
260,tt0012926,La bourrasque,0,0,0,7.0,0.0,0.0
261,tt0012928,Régina,1,0,0,6.1,0.0,0.0
262,tt0012938,Le droit d'aimer,1,0,0,6.7,1.1406559502328857e-18,-6.296415388436079e-19
263,tt0012949,Rival des Dieux,0,0,0,6.2,-0.006054752028721336,0.006696606873136701
264,tt0012952,Arènes sanglantes,1,0,0,6.5,0.0,0.0
265,tt0012960,La caution,0,0,0,3.0,0.0,0.0
266,tt0012961,Un fier gueux,0,0,0,3.3,0.0,0.0
267,tt0012973,La terre qui flambe,1,0,0,7.0,0.0,0.0
268,tt0012975,Roxelane,0,0,0,6.2,0.0,0.0
269,tt0012980,La chaîne brisée,0,0,0,5.1,0.0,0.0
270,tt0013024,La conquête d'une femme,0,0,0,5.8,0.0,0.0
271,tt0013033,Crainquebille,1,0,0,7.1,0.0,0.0
272,tt0013034,La justicière,0,0,0,1.5,0.0,0.0
273,tt0013059,Il était une fois,0,0,0,6.3,0.0,0.0
274,tt0013075,Et puis ça va,0,0,0,7.1,0.0,0.0
