,tconst,startYear
28627,tt0011143,1920.0
28632,tt0011145,1919.0
28662,tt0011151,1920.0
28683,tt0011157,1920.0
28720,tt0011164,1921.0
28765,tt0011172,1920.0
28780,tt0011174,1920.0
28822,tt0011186,1920.0
28843,tt0011190,1920.0
28873,tt0011197,1920.0
28894,tt0011200,1920.0
28921,tt0011205,1920.0
28928,tt0011206,1920.0
28933,tt0011207,1920.0
28948,tt0011212,1920.0
28963,tt0011214,1920.0
28978,tt0011216,2019.0
28984,tt0011217,1921.0
29040,tt0011232,1920.0
29047,tt0011234,1920.0
29061,tt0011237,1920.0
29070,tt0011238,1920.0
29076,tt0011240,1920.0
29083,tt0011241,1919.0
29097,tt0011244,1920.0
29103,tt0011246,1920.0
29141,tt0011256,1920.0
29158,tt0011261,1920.0
29173,tt0011265,1919.0
29204,tt0011270,1920.0
29278,tt0011284,1920.0
29320,tt0011294,1924.0
29347,tt0011300,1920.0
29355,tt0011302,1920.0
29367,tt0011305,1920.0
29411,tt0011312,1920.0
29441,tt0011317,1920.0
29485,tt0011329,1920.0
29499,tt0011332,1920.0
29559,tt0011343,1920.0
29565,tt0011344,1920.0
29579,tt0011348,1920.0
29585,tt0011349,1920.0
29606,tt0011353,1920.0
29626,tt0011356,1920.0
29633,tt0011358,1920.0
29653,tt0011362,1920.0
29664,tt0011367,1920.0
29673,tt0011368,1920.0
29687,tt0011370,1920.0
29695,tt0011371,1920.0
29731,tt0011383,1920.0
29752,tt0011387,1920.0
29804,tt0011401,1920.0
29818,tt0011403,1920.0
29848,tt0011407,1920.0
29872,tt0011413,1920.0
29881,tt0011414,1920.0
29886,tt0011415,1920.0
29904,tt0011418,1920.0
29929,tt0011426,1920.0
29951,tt0011431,1920.0
29994,tt0011439,1920.0
30000,tt0011440,1921.0
30039,tt0011446,1920.0
30053,tt0011448,1920.0
30072,tt0011454,1923.0
30076,tt0011455,1920.0
30084,tt0011457,1920.0
30108,tt0011462,1920.0
30150,tt0011473,1920.0
30155,tt0011474,1920.0
30174,tt0011482,1920.0
30209,tt0011489,1920.0
30231,tt0011495,1919.0
30239,tt0011499,1920.0
30268,tt0011507,1920.0
30315,tt0011522,1920.0
30322,tt0011525,1920.0
30350,tt0011529,1920.0
30357,tt0011530,1920.0
30371,tt0011536,1920.0
30386,tt0011538,1920.0
30413,tt0011549,1920.0
30427,tt0011551,1920.0
30473,tt0011565,1920.0
30486,tt0011567,1920.0
30575,tt0011586,1920.0
30587,tt0011588,1920.0
30623,tt0011601,1920.0
30643,tt0011607,1920.0
30659,tt0011612,1921.0
30688,tt0011619,1920.0
30703,tt0011623,1920.0
30710,tt0011624,1920.0
30718,tt0011625,1920.0
30735,tt0011628,1919.0
30742,tt0011629,1920.0
30761,tt0011632,1920.0
30790,tt0011639,1920.0
30821,tt0011647,1920.0
30836,tt0011651,1920.0
30841,tt0011652,1920.0
30848,tt0011654,1920.0
30903,tt0011670,1920.0
30917,tt0011672,1920.0
30954,tt0011679,1920.0
30976,tt0011683,1920.0
30990,tt0011685,1920.0
31025,tt0011692,1921.0
31044,tt0011695,1920.0
31099,tt0011705,1920.0
31142,tt0011716,1920.0
31163,tt0011723,1920.0
31178,tt0011725,1920.0
31262,tt0011741,1920.0
31267,tt0011742,1920.0
31290,tt0011745,1920.0
31385,tt0011765,1920.0
31438,tt0011774,1920.0
31444,tt0011777,1920.0
31460,tt0011779,1920.0
31488,tt0011785,1920.0
31545,tt0011796,1920.0
31603,tt0011805,1920.0
31619,tt0011809,1920.0
31655,tt0011815,1920.0
31662,tt0011816,1920.0
31695,tt0011827,1920.0
31703,tt0011830,1920.0
31710,tt0011831,1919.0
31726,tt0011833,1920.0
31740,tt0011835,1920.0
31754,tt0011837,1920.0
31784,tt0011841,1920.0
31789,tt0011842,1920.0
31869,tt0011855,1920.0
31874,tt0011856,1920.0
31899,tt0011859,1920.0
31912,tt0011862,1920.0
31932,tt0011865,1920.0
31937,tt0011868,1920.0
31949,tt0011870,1920.0
31967,tt0011872,1920.0
31973,tt0011873,1920.0
31985,tt0011875,1920.0
31992,tt0011876,1920.0
32048,tt0011886,1920.0
32064,tt0011889,1920.0
32070,tt0011890,1920.0
32114,tt0011901,1923.0
32127,tt0011904,1921.0
32142,tt0011906,1921.0
32149,tt0011908,1921.0
32156,tt0011909,1921.0
32162,tt0011911,1921.0
32167,tt0011912,1921.0
32204,tt0011918,1921.0
32283,tt0011936,1921.0
